"pl_name","hostname","discoverymethod","default_flag","pl_bmasse","pl_rade","pl_eqt","pl_orbeccen","st_met","st_teff","st_rad","st_mass","pl_insol","density_gcc","v_esc_kms","can_hold_water","WRI_temp_only"
"NGTS-6 b","NGTS-6","Transit",1,425.57437,14.863134,1283.9,0,0.11,4730,0.754,0.767,NA,0.714679042658417,59.9308667201811,0,0.295315007770107
"NGTS-8 b","NGTS-8","Transit",1,295.5819,12.21781,1345,0.01,0.24,5241,0.98,0.89,503,0.893643903462637,55.0884124987064,0,0.310880697016789
"NGTS-9 b","NGTS-9","Transit",1,921.707,11.99363,1448,0.06,0.31,6330,1.38,1.34,729,2.94583017876442,98.1836430100917,0,0.337120729625761
"OGLE-TR-132 b","OGLE-TR-132","Transit",1,375.02,13.45,2013,NA,0.37,6210,1.32,1.305,NA,0.849873598961095,59.1403778935996,0,0.481058772577892
"OGLE-TR-56 b","OGLE-TR-56","Transit",1,441.77,15.278,2212,NA,NA,6050,1.363,1.228,NA,0.683067252383444,60.2258419252629,0,0.53175553460882
"PDS 70 b","PDS 70","Imaging",1,953.49,30.48848,1204,0.19,NA,3972,NA,NA,NA,0.18551352804443,62.6337201285915,0,0.274959875678292
"PDS 70 c","PDS 70","Imaging",1,635.66,22.86636,995,0.11,NA,3972,NA,NA,NA,0.293157180119593,59.0516376451565,0,0.221715537665911
"PH1 b","PH1","Transit",1,169,6.18,481,0.0702,0.21,6407,1.734,1.528,NA,3.94809906266107,58.5689094324246,0,0.0907701322191934
"PH2 b","PH2","Transit",1,87.08498352,9.33708092,295.1,0.215,0.017,5734,0.949,0.966,1.2,0.589897652402969,34.2045671052856,0,0.0434106947239701
"Qatar-1 b","Qatar-1","Transit",1,411.27202,12.811887,1418,0,0.171,5013,0.803,0.838,NA,1.07834226464572,63.4564913034711,0,0.3294780016814
"Qatar-10 b","Qatar-10","Transit",1,233.92288,17.295487,1955,0,0.016,6124,1.254,1.156,NA,0.249310791977207,41.1896380995207,0,0.466282831885461
"Qatar-2 b","Qatar-2","Transit",1,792.635,14.056,1344,0,0.02,4645,0.776,0.743,NA,1.57381891888258,84.1053787877794,0,0.310625939418643
"Qatar-3 b","Qatar-3","Transit",1,1369.8473,12.285064,1681,0,-0.041,6007,1.272,1.145,1330,4.07386515632992,118.267492777518,0,0.396479249993631
"Qatar-4 b","Qatar-4","Transit",1,1938.763,12.722215,1385,0,0.103,5215,0.849,0.896,614,5.19162473114271,138.260785140341,0,0.321071000942603
"Qatar-5 b","Qatar-5","Transit",1,1373.0256,12.408363,1415,0,0.377,5747,1.076,1.128,669,3.96279791986699,117.814866373147,0,0.328713728886964
"Qatar-6 b","Qatar-6","Transit",1,212.31044,11.903958,1006,0,-0.025,5052,0.722,0.822,NA,0.694007165375819,47.2996584702235,0,0.22451787124551
"Qatar-7 b","Qatar-7","Transit",1,597.5204,19.0553,2053,0,0.276,6387,1.564,1.409,NA,0.476181070811858,62.7171761551208,0,0.491249076503707
"Qatar-8 b","Qatar-8","Transit",1,117.91493,14.403565,1457,0,0.025,5738,1.315,1.029,NA,0.217583304782023,32.0455273620028,0,0.339413548009069
"Qatar-9 b","Qatar-9","Transit",1,378.2177,11.309881,1134,0,0.252,4309,0.696,0.719,NA,1.44156591414897,64.7679169514667,0,0.257126843808117
"Ross 176 b","Ross 176","Transit",1,4.57,1.84,682,0.25,-0.19,4041,0.569,0.577,36.2,4.04510214617408,17.6509144978014,0,0.141976409446412
"TIC 139270665 b","TIC 139270665","Transit",1,147.15455244,7.22979255,703,0.105,0.156,5844,1.016,1.035,40.3,2.14715282219528,50.5291457165526,0,0.147326319007464
"TIC 237913194 b","TIC 237913194","Transit",1,617.22586,12.520453,974,0.575,0.14,5788,1.088,1.026,NA,1.73400660893634,78.6375651981149,0,0.216365628104858
"TIC 257060897 b","TIC 257060897","Transit",1,212.94503269,16.70138124,1762,0.03,NA,NA,1.82,1.32,NA,0.25204443127355,39.9922266215553,0,0.417114615443406
"TIC 393818343 b","TIC 393818343","Transit",1,1379.37528638,12.18416202,805.5,0.6058,0.318,5756,1.086,1.082,2.28,4.20496326522752,119.168482841575,0,0.173438972817364
"TIC 46432937 b","TIC 46432937","Transit",1,1017.0509024,13.31626907,872,0.009,0.323,3572,0.5299,0.563,NA,2.3749898904868,97.8809298519941,0,0.190380353094031
"TIC 4672985 b","TIC 4672985","Transit",1,4049.13390518,11.5004142,517.2,0.018,0.14,5757,1.15,1.01,NA,14.6787290567738,210.156269734516,0,0.0999923572720556
"TOI-1052 b","TOI-1052","Transit",1,16.9,2.87,1135,0.18,0.14,6146,1.264,1.204,246,3.94191972784321,27.1781835032547,0,0.257381601406262
"TOI-1062 b","TOI-1062","Transit",1,10.15,2.265,1077,0.177,0.14,5328,0.84,0.94,232,4.81646251847454,23.7092022074905,0,0.242605660713831
"TOI-1064 b","TOI-1064","Transit",1,13.5,2.587,784,0.047,0.05,4734,0.726,0.748,62.9,4.2994335799689,25.5850748916067,0,0.167961684457239
"TOI-1064 c","TOI-1064","Transit",1,2.5,2.651,634,0.088,0.05,4734,0.726,0.748,26.8,0.739907768699061,10.8763497105083,0,0.129748044735434
"TOI-1075 b","TOI-1075","Transit",1,9.95,1.791,1323,0,-0.08,3875,0.581,0.604,509.2,9.54999369741983,26.3986531642978,0,0.305276029857591
"TOI-1107 b","TOI-1107","Transit",1,1064.72516345,14.57167491,1728,0.025,-0.1,6311,1.81,1.35,532,1.89747411000823,95.7374917095056,0,0.408452857106463
"TOI-1117 b","TOI-1117","Transit",1,8.9,2.46,1538,0,0.136,5635,1.05,0.97,928,3.29648760497123,21.3032307943284,0,0.360048913458844
"TOI-1130 b","TOI-1130","Transit",1,19.8,3.66,825,0.052162,0.11,4360,0.697,0.745,NA,2.22683836973139,26.0501408070201,0,0.178406745981199
"TOI-1130 c","TOI-1130","Transit",1,336,13,650,0.0398,0.11,4360,0.697,0.745,NA,0.84328812016386,56.9398062734809,0,0.13382416630576
"TOI-1173 b","TOI-1173","Transit",1,27.4,9.19,868,0.023,0.139,5350,0.934,0.911,132,0.194657342690463,19.3390683525419,0,0.18936132270145
"TOI-1194 b","TOI-1194","Transit",1,120,8.71664516,1264.29,0,0.348,5394,0.9608,0.9835,NA,0.999079175995226,41.5560214934297,0,0.290319211270476
"TOI-1199 b","TOI-1199","Transit",1,75.96098927,10.5140239,1486,0.03,0.44,5710,1.45,1.23,NA,0.360371547042643,30.104321872031,0,0.346801518355285
"TOI-1201 b","TOI-1201","Transit",1,6.28,2.415,703,0,0.05,3476,0.508,0.512,40.6,2.45852710240323,18.0608953828149,0,0.147326319007464
"TOI-1221 b","TOI-1221","Transit",1,1112.3994245,2.91,440,0.21,0.06,5592,1.031,0.93,6.06,248.913556629933,218.978716511391,0,0.0803250706952335
"TOI-1231 b","TOI-1231","Transit",1,15.4,3.65,329.6,0.087,0.041,3553,0.476,0.485,1.93,1.74625993208523,23.0055145265247,0,0.0521998318599852
"TOI-1238 b","TOI-1238","Transit",1,3.76,1.21,1133,0.25,0.31,4089,0.58,0.59,442,11.7030347811901,19.7432779647501,0,0.256872086209971
"TOI-1238 c","TOI-1238","Transit",1,8.32,2.11,695,0.15,0.31,4089,0.58,0.59,63,4.88362965408198,22.2401882088255,0,0.145288258222301
"TOI-1246 b","TOI-1246","Transit",1,8.1,3.01,955,NA,0.17,5151,0.86,0.87,196,1.63776767038243,18.3728819377275,0,0.211525233740096
"TOI-1246 c","TOI-1246","Transit",1,9.1,2.45109846,862.49,0,0.168,5213,0.8649,0.8889,NA,3.40742168374662,21.5803428589353,0,0.187957608335669
"TOI-1246 d","TOI-1246","Transit",1,5.4,3.43139739,587.77,0,0.168,5213,0.8649,0.8889,NA,0.736966033433982,14.0500993202816,0,0.117970600973174
"TOI-1246 e","TOI-1246","Transit",1,14.5,3.5141875,463.98,0,0.168,5213,0.8649,0.8889,NA,1.84229840087103,22.7504273502138,0,0.0864341578987593
"TOI-1248 b","TOI-1248","Transit",1,27.4,6.8084859,952.09,0,0.223,5205,0.8686,0.9042,NA,0.478702502008903,22.4681871594008,0,0.210783889129493
"TOI-1249 b","TOI-1249","Transit",1,11.9,3.2710301,726.89,0,0.297,5497,0.9785,1.0062,NA,1.87482226127175,21.3623601748135,0,0.153412478027157
"TOI-125 b","TOI-125","Transit",1,9.5,2.726,1037,0.194,-0.02,5320,0.848,0.859,185,2.58590646874905,20.9082122197118,0,0.232415356788016
"TOI-125 c","TOI-125","Transit",1,6.63,2.759,827.8,0.066,-0.02,5320,0.848,0.859,77.59,1.74070504789354,17.3619674083054,0,0.179120067256006
"TOI-125 d","TOI-125","Transit",1,13.6,2.93,638.1,0.168,-0.02,5320,0.848,0.859,26.7,2.98128029144911,24.1297969112073,0,0.13079255088783
"TOI-1259 A b","TOI-1259 A","Transit",1,140.16232749,11.45557828,963,0,-0.5,4775,0.711,0.744,NA,0.514099297407374,39.1764576452019,0,0.213563294525259
"TOI-1260 b","TOI-1260","Transit",1,8.56,2.41,871,0,-0.1,4227,0.672,0.679,95.58,3.37201423023405,21.1079658912551,0,0.190125595495886
"TOI-1260 c","TOI-1260","Transit",1,13.2,2.76,651,0,-0.1,4227,0.672,0.679,29.81,3.46189145502863,24.4934773926164,0,0.134078923903905
"TOI-1260 d","TOI-1260","Transit",1,11.84,3.12,499,0,-0.1,4227,0.672,0.679,10.32,2.14958529307642,21.8180823618557,0,0.09535576898581
"TOI-1266 b","TOI-1266","Transit",1,4.46,2.52,415,0.039,-0.109,3563,0.4232,0.437,NA,1.53673859314449,14.8999627143456,0,0.0739561307415993
"TOI-1266 c","TOI-1266","Transit",1,3.17,1.98,346,0.071,-0.109,3563,0.4232,0.437,NA,2.25180331011369,14.1714751197858,0,0.0563778564695692
"TOI-1268 b","TOI-1268","Transit",1,96.4,9.1,918.9,0.105,0.36,5300,0.92,0.96,NA,0.705374277937978,36.4532155382337,0,0.202328484447049
"TOI-1269 b","TOI-1269","Transit",1,6.4,2.40144286,1004.9,0,-0.049,5499,0.8521,0.9027,NA,2.54817918197989,18.2840281359114,0,0.22423763788755
"TOI-1272 b","TOI-1272","Transit",1,27,4.13204907,975,0.35,0.182,5065,0.7934,0.8772,NA,2.11025100099417,28.6297245462899,0,0.216620385703004
"TOI-1273 b","TOI-1273","Transit",1,70.55790635,11.09689089,1211,0.055,0.07,5690,1.06,1.06,NA,0.284713788183703,28.2416591715696,0,0.27674317886531
"TOI-1279 b","TOI-1279","Transit",1,10.6,2.66146528,759,0,-0.079,5457,0.8426,0.8784,NA,3.10034634333998,22.3516996405421,0,0.161592744503605
"TOI-1288 b","TOI-1288","Transit",1,44.1,4.96846551,1203.44,0,0.257,5388,0.9583,0.9552,NA,1.98261557267228,33.3676927377481,0,0.274817211423331
"TOI-1294 b","TOI-1294","Transit",1,63.9,10.12369881,1392.74,0,0.283,5718,1.5566,1.1578,NA,0.339586152109326,28.1383640227319,0,0.323042824752248
