"pl_name","WRI_weighted","WRI_temp_only","WRI_difference"
"K2-136 b",0.0871500148079967,0.123633862379945,-0.0364838475719483
"K2-136 c",0.0638108702217061,0.0879677986395944,-0.0241569284178883
"K2-136 d",0.0391361894684119,0.0752299187323262,-0.0360937292639143
"K2-140 b",0.186977601564357,0.213308536927114,-0.026330935362757
"K2-141 b",0.359776994754596,0.503986956410975,-0.144209961656379
"K2-141 c",0.0852291850535766,0.145288258222301,-0.0600590731687244
"K2-157 b",0.410862195063695,0.5878022062008,-0.176940011137105
"K2-18 b",0.0216811423513389,0.0405828853845566,-0.0189017430332177
"K2-180 b",0.120568840773081,0.171400912032201,-0.05083207125912
"K2-182 b",0.161281428209563,0.214276615800066,-0.052995187590503
"K2-199 b",0.140379815236687,0.200825414617991,-0.060445599381304
"K2-199 c",0.100134276463176,0.145033500624156,-0.04489922416098
"K2-216 b",0.177983802644226,0.24922935826561,-0.071245555621384
"K2-222 b",0.130928766937948,0.190125595495886,-0.059196828557938
"K2-232 b",0.180770979659877,0.230632053600999,-0.049861073941122
"K2-233 b",0.170742715294373,0.255343540621099,-0.084600825326726
"K2-233 c",0.117581452933924,0.170509260438693,-0.052927807504769
"K2-233 d",0.0688521570092138,0.101979466537589,-0.0331273095283752
"K2-237 b",0.343255394221864,0.41635034264897,-0.073094948427106
"K2-238 b",0.298655010349019,0.372532035767967,-0.073877025418948
"K2-25 b",0.071289982805742,0.0940819809950832,-0.0227919981893412
"K2-260 b",0.408566137394335,0.500675107635085,-0.09210897024075
"K2-261 b",0.172783655595125,0.232160599189871,-0.059376943594746
"K2-263 b",0.0645826231370226,0.0879677986395944,-0.0233851755025718
"K2-265 b",0.226080865604176,0.316230606577841,-0.090149740973665
"K2-266 b",0.24963271558626,0.354189488701501,-0.104556773115241
"K2-266 c",0.0740667415888848,0.137518151478868,-0.0634514098899832
"K2-266 d",0.0659970799953407,0.105367742592923,-0.0393706625975823
"K2-266 e",0.065171998193586,0.0930884263623163,-0.0279164281687303
"K2-27 b",0.146550762206146,0.198023081038392,-0.051472318832246
"K2-280 b",0.119088767664571,0.168725957251675,-0.049637189587104
"K2-285 b",0.171602964397134,0.245637276131761,-0.074034311734627
"K2-285 c",0.109134352632258,0.157109010776246,-0.047974658143988
"K2-285 d",0.0794916846613973,0.126155962601585,-0.0466642779401877
"K2-285 e",0.0685935903662506,0.0958398084222862,-0.0272462180560356
"K2-287 b",0.137030313034864,0.173056836420146,-0.036026523385282
"K2-29 b",0.21876635255816,0.266552874939495,-0.047786522381335
