"pl_name","hostname","discoverymethod","default_flag","pl_eqt","pl_insol","pl_eqt_est","pl_orbeccen","st_met","st_teff","st_rad","st_mass","T_used","can_hold_water_temp","WRI_temp_prob"
"TOI-2374 b","TOI-2374","Transit",1,885,NA,885,0.13,0.15,4802,0.69,0.75,885,0,0.000247027020265475
"TOI-2379 b","TOI-2379","Transit",1,624,25.3,624,0.342,0.501,3707,0.622,0.645,624,0,0.00963028344577382
"TOI-238 b","TOI-238","Transit",1,1456.61,747.65,1456.61,NA,-0.05,5080,0.75,0.788,1456.61,0,7.9378243093356e-08
"TOI-238 c","TOI-238","Radial Velocity",1,696,58.3,696,0.36,-0.114,5059,0.733,0.79,696,0,0.00351814618579296
"TOI-2382 b","TOI-2382","Transit",1,1426,689,1426,0.18,0.249,6033,1.417,1.26,1426,0,1.22112858497631e-07
"TOI-2384 b","TOI-2384","Transit",1,889.7,104.3,889.7,0,0.332,3943,0.6113,0.635,889.7,0,0.000231222069520107
"TOI-2406 b","TOI-2406","Transit",1,449,6.69,449,0.17,-0.26,3100,0.204,0.166,449,0,0.102413190000326
"TOI-2407 b","TOI-2407","Transit",1,705,41,705,0.08,0.21,3530,0.567,0.548,705,0,0.00310095890721553
"TOI-2411 b","TOI-2411","Transit",1,1355,NA,1355,NA,NA,4099,0.68,0.65,1355,0,3.31625154199396e-07
"TOI-2416 b","TOI-2416","Transit",1,1080,NA,1080,0.32,0.32,5808,1.236,1.118,1080,0,1.58922609064421e-05
"TOI-2420 b","TOI-2420","Transit",1,1571.6,1017,1571.6,0.055,NA,NA,2.369,1.158,1571.6,0,1.57394396116913e-08
"TOI-2421 b","TOI-2421","Transit",1,1534,923.6,1534,0,0.19,5607,1.75,1.131,1534,0,2.6715640614825e-08
"TOI-2427 b","TOI-2427","Transit",1,1117,NA,1117,NA,NA,4072,0.65,0.64,1117,0,9.44232184463444e-06
"TOI-244 b","TOI-244","Transit",1,458,7.3,458,NA,-0.39,3433,0.426,0.428,458,0,0.0913438568539732
"TOI-2443 b","TOI-2443","Transit",1,519,NA,519,0.301,-0.29,4375,0.631,0.642,519,0,0.0408679406413167
"TOI-2445 b","TOI-2445","Transit",1,1060,NA,1060,NA,NA,3333,0.27,0.25,1060,0,2.10574072348408e-05
"TOI-2447 b","TOI-2447","Transit",1,414,NA,414,0.17,0.18,5730,1.006,1.034,414,0,0.157333957832246
"TOI-2458 b","TOI-2458","Transit",1,1509.4,865,1509.4,0.087,-0.1,6005,1.31,1.05,1509.4,0,3.77657379264101e-08
"TOI-2459 b","TOI-2459","Transit",1,445.01,NA,445.01,NA,NA,4195,0.6751,0.66,445.01,0,0.107690662658319
"TOI-2485 b","TOI-2485","Transit",1,1134,275.6,1134,0.0341,NA,NA,1.72,1.163,1134,0,7.43346732524324e-06
"TOI-2497 b","TOI-2497","Transit",1,1595,NA,1595,0.195,0.094,7360,2.36,1.859,1595,0,1.13237472578359e-08
"TOI-2498 b","TOI-2498","Transit",1,1443,NA,1443,0.089,0.167,5905,1.26,1.12,1443,0,9.61331501570689e-08
"TOI-2524 b","TOI-2524","Transit",1,1100,NA,1100,0,0.06,5831,1.119,1.007,1100,0,1.19940519698765e-05
"TOI-2529 b","TOI-2529","Transit",1,636,NA,636,0.021,0.1,5802,1.7,1.11,636,0,0.00814622677311155
"TOI-2537 b","TOI-2537","Transit",1,338,NA,338,0.364,0.08,4870,0.771,0.771,338,1,0.352336648624977
"TOI-2537 c","TOI-2537","Radial Velocity",1,123.1,NA,123.1,0.287,0.08,4870,0.771,0.771,123.1,0,0.917973854739636
"TOI-2567 b","TOI-2567","Transit",1,1352,558,1352,0,0.241,5611,1.686,1.13,1352,0,3.45923986080945e-07
"TOI-257 b","TOI-257","Transit",1,1027,186,1027,0,0.175,6095,1.867,1.407,1027,0,3.35015490982663e-05
"TOI-2570 b","TOI-2570","Transit",1,1431,699,1431,0,0.191,5771,1.095,1.063,1431,0,1.13816712691137e-07
"TOI-2580 b","TOI-2580","Transit",1,2410,1730,2410,0.08,0.26,6120,1.81,1.33,2410,0,1.1843115393166e-13
"TOI-2583 A b","TOI-2583 A","Transit",1,1456,750.9,1456,0,0.158,5936,1.477,1.215,1456,0,8.00625164471357e-08
"TOI-2587 A b","TOI-2587 A","Transit",1,1445,728,1445,0,0.13,5760,1.726,1.15,1445,0,9.34654345872911e-08
"TOI-2589 b","TOI-2589","Transit",1,592,NA,592,0.522,0.12,5579,1.07,0.93,592,0,0.0150252306859053
"TOI-260 b","TOI-260","Transit",1,493,NA,493,0,-0.47,4026,0.607,0.616,493,0,0.0578762253050951
"TOI-261.01","TOI-261","Transit",1,1722.49,874.7956,1722.49,NA,NA,5890.3,1.28018,0.496728,1722.49,0,1.88316996606457e-09
"TOI-262 b","TOI-262","Transit",1,584,NA,584,NA,0.26,5310,0.853,0.913,584,0,0.0167854474123051
"TOI-2641 b","TOI-2641","Transit",1,1387,602,1387,0.18,-0.15,6100,1.336,1.16,1387,0,2.11394260761097e-07
"TOI-269 b","TOI-269","Transit",1,531,19,531,0.425,-0.29,3514,0.398,0.3917,531,0,0.0347389167081324
"TOI-270 b","TOI-270","Transit",1,581,NA,581,0.034,-0.2,3506,0.378,0.386,581,0,0.017496530352983
"TOI-270 c","TOI-270","Transit",1,488,NA,488,0.027,-0.2,3506,0.378,0.386,488,0,0.061833992851214
"TOI-270 d","TOI-270","Transit",1,387,NA,387,0.032,-0.2,3506,0.378,0.386,387,0,0.214455321480623
"TOI-2714 b","TOI-2714","Transit",1,1603,NA,1603,0.164,0.3,5665,1.25,1.07,1603,0,1.0118161027701e-08
"TOI-2719 b","TOI-2719","Transit",1,1710,NA,1710,NA,0.27,5762,1.69,1.02,1710,0,2.24500243522443e-09
"TOI-2768 b","TOI-2768","Transit",1,855,NA,855,NA,NA,4008,0.657,0.63,855,0,0.000376721404184735
"TOI-2796 b","TOI-2796","Transit",1,1205,352,1205,0,0.239,5764,1.069,1.063,1205,0,2.73720495834485e-06
"TOI-2803 A b","TOI-2803 A","Transit",1,1893,2150,1893,0,-0.105,6280,1.245,1.118,1893,0,1.70958430453019e-10
"TOI-2818 b","TOI-2818","Transit",1,1376,598,1376,0,-0.02,5721,1.229,0.977,1376,0,2.46782850373519e-07
"TOI-2842 b","TOI-2842","Transit",1,1471,781.8,1471,0,0.233,5910,1.265,1.135,1471,0,6.48280790678736e-08
"TOI-286 b","TOI-286","Transit",1,979,NA,979,0,-0.05,5152,0.78,0.832,979,0,6.58237072317672e-05
"TOI-286 c","TOI-286","Transit",1,475,NA,475,0,-0.05,5152,0.78,0.832,475,0,0.0733354704791874
"TOI-2876 b","TOI-2876","Transit",1,929,124.2,929,0.13,0.353,5271,0.873,0.939,929,0,0.000133016889039238
"TOI-2886 b","TOI-2886","Transit",1,1978,2560,1978,0.11,0.284,6240,1.241,1.229,1978,0,5.1695096049833e-11
"TOI-2969 b","TOI-2969","Transit",1,1186,382,1186,0,0.08,4738,0.7,0.71,1186,0,3.57616323497345e-06
"TOI-2977 b","TOI-2977","Transit",1,1544,947.8,1544,0,0.013,5691,1.073,0.936,1544,0,2.32089165830222e-08
"TOI-2981 b","TOI-2981","Transit",1,1358,NA,1358,0.035,-0.11,5940,1.08,1.03,1358,0,3.17917366987783e-07
"TOI-2986 b","TOI-2986","Transit",1,1622,1156,1622,0.14,0.095,5906,1.458,1.122,1622,0,7.74446118505685e-09
"TOI-2989 b","TOI-2989","Transit",1,1001,124,1001,0,-0.04,4672,0.76,0.77,1001,0,4.82999132748033e-05
"TOI-2992 b","TOI-2992","Transit",1,1726,1484,1726,0.089,0.084,6000,1.545,1.21,1726,0,1.79241947594579e-09
"TOI-3023 b","TOI-3023","Transit",1,1596,1084,1596,0,0.085,5760,1.668,1.12,1596,0,1.11655236275079e-08
"TOI-3071 b","TOI-3071","Transit",1,2155,NA,2155,0.09,0.35,6177,1.31,1.29,2155,0,4.28340843097825e-12
"TOI-3082 b","TOI-3082","Transit",1,1032.78,NA,1032.78,NA,0.17,4263,0.6847,0.664,1032.78,0,3.08847454082069e-05
"TOI-3135 b","TOI-3135","Transit",1,1292,464,1292,0.24,0.071,5890,0.985,1.044,1292,0,8.04720076743232e-07
"TOI-3160 A b","TOI-3160 A","Transit",1,1539,933,1539,0.18,-0.114,6190,1.346,1.088,1539,0,2.49006239794896e-08
"TOI-3235 b","TOI-3235","Transit",1,604,NA,604,0.029,0.264,3388.8,0.3697,0.3939,604,0,0.0127204742011197
"TOI-3261 b","TOI-3261","Transit",1,1722,1466,1722,0,0.138,5068,0.849,0.861,1722,0,1.89619913775675e-09
"TOI-329 b","TOI-329","Transit",1,1213.02,NA,1213.02,0.39,0.205,5614,1.5326,1.0678,1213.02,0,2.44510009329146e-06
"TOI-332 b","TOI-332","Transit",1,1871,NA,1871,0,0.256,5251,0.87,0.88,1871,0,2.32988304151078e-10
"TOI-3321 b","TOI-3321","Transit",1,1616,NA,1616,0.054,-0.103,5850,1.549,1.041,1616,0,8.42670213888902e-09
"TOI-3331 A b","TOI-3331 A","Transit",1,1488,818.5,1488,0,0.148,5609,0.952,1.016,1488,0,5.10357996704623e-08
"TOI-3353.01","TOI-3353","Transit",1,1264.36,313.0426,1264.36,NA,NA,6365,1.0207,1.332089,1264.36,0,1.18728428237282e-06
