pl_name,hostname,discoverymethod,default_flag,pl_eqt,pl_insol,pl_eqt_est,pl_orbeccen,st_met,st_teff,st_rad,st_mass
TOI-1749 d,TOI-1749,Transit,1,533.0,,533.0,0.062,-0.26,3985.0,0.55,0.58
TOI-1751 b,TOI-1751,Transit,1,651.64,,651.64,0.327,-0.373,5970.0,1.3137,0.9382
TOI-1753 b,TOI-1753,Transit,1,1005.43,,1005.43,0.0,0.026,5621.0,0.9715,0.9483
TOI-1758 b,TOI-1758,Transit,1,,21.05,596.538152084414,,,5169.0,0.81,0.88
TOI-1759 b,TOI-1759,Transit,1,443.0,6.39,443.0,0.0,0.05,4065.0,0.597,0.606
TOI-1768.01,TOI-1768,Transit,1,,240.87,1097.1623036205965,,,5994.0,1.1,1.1
TOI-1772.01,TOI-1772,Transit,1,,140.93,959.568676003129,,,5583.0,0.995,0.99
TOI-1775 b,TOI-1775,Transit,1,707.89,,707.89,0.0,0.162,5284.0,0.8288,0.9218
TOI-1776 b,TOI-1776,Transit,1,1269.21,,1269.21,0.0,-0.193,5785.0,0.9356,0.9196
TOI-1777.01,TOI-1777,Transit,1,,71.34,809.3911953204347,,,5859.0,0.98,1.06
TOI-178 b,TOI-178,Transit,1,1040.0,,1040.0,,-0.23,4316.0,0.651,0.65
TOI-178 c,TOI-178,Transit,1,873.0,,873.0,,-0.23,4316.0,0.651,0.65
TOI-178 d,TOI-178,Transit,1,690.0,,690.0,,-0.23,4316.0,0.651,0.65
TOI-178 e,TOI-178,Transit,1,600.0,,600.0,,-0.23,4316.0,0.651,0.65
TOI-178 f,TOI-178,Transit,1,521.0,,521.0,,-0.23,4316.0,0.651,0.65
TOI-178 g,TOI-178,Transit,1,470.0,,470.0,,-0.23,4316.0,0.651,0.65
TOI-1782.01,TOI-1782,Transit,1,,56.25,762.7036613259438,,,4336.0,0.669,0.68
TOI-1782.02,TOI-1782,Transit,1,,214.17,1065.405314153939,,,4336.0,0.669,0.68
TOI-1789 b,TOI-1789,Transit,1,1927.0,2300.0,1927.0,,0.373,5991.0,2.168,1.507
TOI-1794 b,TOI-1794,Transit,1,992.91,,992.91,0.0,0.035,5631.0,1.3162,0.9698
TOI-1798.01,TOI-1798,Transit,1,,69.26,803.4258877210895,,,5165.0,0.78,0.87
TOI-1798.02,TOI-1798,Transit,1,,3345.44,2118.0612303308208,,,5165.0,0.78,0.87
TOI-1799 b,TOI-1799,Transit,1,,164.26,997.029834657945,,,5690.0,0.957,1.01
TOI-1801 b,TOI-1801,Transit,1,493.7,,493.7,0.0,-0.19,3863.0,0.547,0.556
TOI-1803 b,TOI-1803,Transit,1,747.0,58.0,747.0,0.0,0.014,4687.0,0.715,0.756
TOI-1803 c,TOI-1803,Transit,1,588.0,22.0,588.0,0.0,0.014,4687.0,0.715,0.756
TOI-1806.01,TOI-1806,Transit,1,337.47,2.1473,337.47,,,3272.0,0.401575,0.392935
