"pl_name","pl_eqt","v_esc_kms","density_gcc","WRS"
"EPIC 249893012 c",990,22.39,1.64,0.1572
"TOI-1439 b",748.4,33.74,2.78,0.1566
"TOI-1736 b",1099.79,22.02,2.11,0.1563
"Kepler-117 b",984,21.56,0.31,0.1548
"TOI-1130 c",650,56.94,0.84,0.1544
"HD 219666 b",1076,21.23,0.83,0.1538
"K2-266 b",1515,20.7,1.73,0.1538
"K2-292 b",795,34.18,7.43,0.1536
"TOI-3629 b",690,35.35,0.8,0.1533
"K2-114 b",701.4,86.98,2.96,0.1528
"TOI-4010 b",1441,21.38,2.2,0.1522
"WASP-139 b",910,22.81,0.28,0.152
"KOI-134 b",659,60.08,1.09,0.1516
"TOI-4860 b",694,35.36,0.73,0.1509
"TOI-1898 b",674.54,41.5,0.86,0.1507
"TOI-1248 b",952.09,22.47,0.48,0.1506
"TOI-2000 b",1488,22.61,3.08,0.1502
"WASP-195 b",1522,20.05,0.17,0.1479
"TOI-5293 A b",675,42.38,0.56,0.147
"TOI-1410.01",1236.7,22.49,2.31,0.1469
"K2-216 b",1103,23.95,8.23,0.1467
"WASP-132 b",682,41.1,0.73,0.1466
"HATS-38 b",1294,20.7,0.4,0.1457
"TIC 139270665 b",703,50.53,2.15,0.1451
"TOI-5344 b",689,39.36,0.61,0.1448
"HATS-6 b",712.8,33.72,0.4,0.1448
"Kepler-411 c",838,27.37,1.68,0.1446
"TOI-2328 b",842,25.29,0.28,0.1444
"TOI-519 b",687,39.99,0.53,0.1442
"K2-265 b",1366,23.22,8.12,0.1439
"K2-290 c",676,52.31,0.95,0.1438
"CoRoT-24 c",850,26.5,1.24,0.1426
"TOI-480 b",1198.94,30.24,4.94,0.1416
"TOI-1775 b",707.89,38.68,1.02,0.1415
"TOI-3568 b",899,25,0.98,0.1412
"TOI-1670 c",684,47.65,0.82,0.1411
"TOI-3757 b",759,29.86,0.27,0.1408
"Kepler-1876 b",1299,18.79,21.32,0.1408
"TOI-4994 b",717.6,36.15,0.79,0.1403
"TOI-1052 b",1135,27.18,3.94,0.14
"HD 20329 b",2141,23.26,8.04,0.14
"TIC 393818343 b",805.5,119.17,4.2,0.139
"TOI-4515 b",705,81.03,1.95,0.1386
"TOI-5218 b",783,91.42,3.78,0.1375
"TOI-2458 b",1509.4,24.29,3.24,0.1374
"Kepler-117 c",704,77.1,1.72,0.1366
"K2-115 b",696,58.41,1.08,0.1348
"HAT-P-18 b",852,26.54,0.25,0.1336
"TOI-824 b",1253,28.14,4.06,0.1315
"TOI-5795 b",1136.78,22.98,0.73,0.1309
"TOI-1836 b",966,24.55,0.41,0.13
"TOI-2338 b",799,145.84,7.44,0.1297
"TOI-4201 b",725,85.03,1.7,0.1282
"TOI-6034 b",714,51.7,0.83,0.127
"TOI-908 b",1317,25.21,2.75,0.1269
"TOI-2416 b",1080,110.12,5.48,0.1261
"HD 93963 A c",1212.45,27.2,3.34,0.1261
"HATS-17 b",814,78.26,3.55,0.1256
"TOI-5688 A b",742,38.86,0.63,0.1253
"KOI-3503 c",686,32.77,32.25,0.1253
"WASP-162 b",910,136,6.47,0.1242
"K2-27 b",902,29.41,1.89,0.1241
"Kepler-323 c",1431,23.31,9.69,0.1236
"HD 332231 b",798.3,32.01,0.55,0.1235
"HATS-37 A b",1085,24.11,0.55,0.123
"K2-38 b",1310,24.16,9.37,0.1221
"HATS-22 b",858,101.13,3.94,0.1221
"WASP-84 b",732,50.74,0.98,0.1221
"TOI-1694 b",943.19,27.11,1.13,0.1219
"TOI-2876 b",929,26.52,0.33,0.1208
"HD 89345 b",1089,24.35,0.48,0.1201
"TOI-5205 b",737,60.9,1.21,0.12
"TOI-1272 b",975,28.63,2.11,0.1198
"TOI-2019 b",917.46,28.45,1.25,0.1196
"K2-131 b",2223,24.22,9.02,0.1193
"EPIC 220674823 b",2299,24.16,9.14,0.1185
"TOI-6383 A b",745,60.64,1.27,0.1179
"Kepler-21 b",2015,23.96,9.39,0.1176
"TOI-5005 b",1040,25.62,0.74,0.1169
"TOI-181 b",895.1,28.85,0.76,0.1169
"TOI-5398 b",947,26.74,0.3,0.1166
"Kepler-553 b",1089,55.4,6,0.1164
"Kepler-62 b",750,29.36,22.07,0.1157
"TYC 8998-760-1 c",1240,139.29,5.61,0.1157
"TOI-3714 b",750,49.65,0.85,0.1151
"WASP-166 b",1270,23.88,0.5,0.1151
"NGTS-5 b",952,26.78,0.19,0.1149
"TOI-559 b",1180,139.98,5.76,0.1146
"TOI-2295 b",747,46.01,0.34,0.114
"NGTS-4 b",1650,28.51,3.53,0.114
"KOI-94 d",806,34.35,0.41,0.1135
"TOI-5108 b",1180,24.66,0.61,0.1133
"HATS-8 b",1324,23.71,0.26,0.1131
"TOI-3976 A b",1295,23.84,0.17,0.1121
"HATS-75 b",772.3,44.45,0.88,0.1116
"HD 28109 b",881.2,32.48,9.59,0.1114
"K2-287 b",804,36.37,0.65,0.1114
"KELT-11 b",1712,23.24,0.1,0.1113
"HD 213885 b",2128,25.19,9.16,0.1103
"WASP-156 b",934.5,29.49,1.05,0.1103
