pl_name,hostname,discoverymethod,default_flag,pl_bmasse,pl_rade,pl_eqt,pl_orbeccen,st_met,st_teff,st_rad,st_mass,pl_insol
KOI-94 b,KOI-94,Transit,1,10.5,1.71,1486.0,0.25,0.0228,6182.0,1.52,1.277,
KOI-94 c,KOI-94,Transit,1,15.6,4.32,1012.0,0.43,0.0228,6182.0,1.52,1.277,
KOI-94 d,KOI-94,Transit,1,106.0,11.27,806.0,0.022,0.0228,6182.0,1.52,1.277,
KOI-94 e,KOI-94,Transit,1,35.0,6.56,584.0,0.019,0.0228,6182.0,1.52,1.277,
KPS-1 b,KPS-1,Transit,1,346.4347,11.54527,1459.0,0.0,0.22,5165.0,0.907,0.892,729.0
Kepler-10 b,Kepler-10,Transit,1,3.24,1.47,2188.0,0.0,-0.15,5708.0,1.065,0.91,
Kepler-10 c,Kepler-10,Transit,1,11.29,2.355,579.0,0.136,-0.15,5708.0,1.065,0.91,
Kepler-101 b,Kepler-101,Transit,1,51.1,5.77,1513.0,0.086,0.33,5667.0,1.56,1.17,
Kepler-101 c,Kepler-101,Transit,1,3.78,1.25,1413.0,0.0,0.33,5667.0,1.56,1.17,
Kepler-102 b,Kepler-102,Transit,1,1.1,0.46,857.0,0.1,0.11,4909.0,0.724,0.803,90.0
Kepler-102 c,Kepler-102,Transit,1,1.7,0.567,777.0,0.094,0.11,4909.0,0.724,0.803,61.0
Kepler-102 d,Kepler-102,Transit,1,3.0,1.154,686.0,0.092,0.11,4909.0,0.724,0.803,36.9
Kepler-102 e,Kepler-102,Transit,1,4.7,2.17,590.0,0.089,0.11,4909.0,0.724,0.803,20.3
Kepler-102 f,Kepler-102,Transit,1,4.3,0.861,495.0,0.1,0.11,4909.0,0.724,0.803,10.0
Kepler-103 b,Kepler-103,Transit,1,9.8,3.486,973.0,0.093,0.16,6009.0,1.492,1.212,149.9
Kepler-103 c,Kepler-103,Transit,1,38.0,5.45,434.0,0.095,0.16,6009.0,1.492,1.212,5.95
Kepler-107 b,Kepler-107,Transit,1,3.8,1.536,1592.0,0.1,0.321,5854.0,1.447,1.238,1073.0
Kepler-107 c,Kepler-107,Transit,1,10.0,1.597,1378.0,0.08,0.321,5854.0,1.447,1.238,602.0
Kepler-107 d,Kepler-107,Transit,1,7.7,0.86,1173.0,0.11,0.321,5854.0,1.447,1.238,315.0
Kepler-107 e,Kepler-107,Transit,1,14.1,2.903,955.0,0.1,0.321,5854.0,1.447,1.238,138.7
Kepler-109 b,Kepler-109,Transit,1,4.9,2.49,1276.0,0.11,-0.02,5950.0,1.387,1.094,442.0
Kepler-109 c,Kepler-109,Transit,1,8.2,2.65,859.0,0.098,-0.02,5950.0,1.387,1.094,91.0
Kepler-111 c,Kepler-111,Transit,1,222.4798849,7.0840758,352.2,0.176,0.237,5914.0,1.145,1.118,2.48
Kepler-117 b,Kepler-117,Transit,1,29.875,8.059,984.0,0.0493,-0.04,6150.0,1.606,1.129,
Kepler-117 c,Kepler-117,Transit,1,584.78,12.341,704.0,0.0323,-0.04,6150.0,1.606,1.129,
Kepler-12 b,Kepler-12,Transit,1,137.30256,19.660586,1480.0,,0.07,5947.0,1.483,1.166,
Kepler-138 b,Kepler-138,Transit,1,0.07,0.64,452.0,0.02,-0.18,3841.0,0.535,0.535,9.9
Kepler-138 c,Kepler-138,Transit,1,2.3,1.51,410.0,0.017,-0.18,3841.0,0.535,0.535,6.8
Kepler-138 d,Kepler-138,Transit,1,2.1,1.51,345.0,0.01,-0.18,3841.0,0.535,0.535,3.4
Kepler-1514 b,Kepler-1514,Transit,1,1678.1424,12.419572,387.9,0.401,0.119,6145.0,1.289,1.196,3.23
Kepler-1654 b,Kepler-1654,Transit,1,158.915,9.180171,206.0,0.26,-0.088,5597.0,1.179,1.011,0.3
